shared words 452; best mapping {'N': 'N', 'NP': 'NP'}: exact agreement 47/452 = 0.104; shape agreement 0.124; arity agreement 0.608
  hand-written N/N            -> induced (mapped): [('S', 43), ('NP', 16), ('S/S', 14), ('S\\S', 13), ('NP/S', 10)]
  hand-written NP/NP          -> induced (mapped): [('S', 32), ('S/S', 26), ('NP', 12), ('NP/S', 11), ('S\\S', 11)]
  hand-written NP             -> induced (mapped): [('S', 35), ('S/S', 17), ('S\\S', 13), ('NP', 12), ('NP/S', 8)]
  hand-written N              -> induced (mapped): [('S', 28), ('S/S', 11), ('NP/S', 9), ('NP', 9), ('S\\S', 8)]
  hand-written N/NP           -> induced (mapped): [('S', 24), ('S/S', 10), ('NP', 9), ('S\\S', 8), ('NP/S', 7)]
  hand-written (S\NP)/NP      -> induced (mapped): [('S/S', 22), ('S', 20), ('NP/S', 8), ('N/S', 7), ('NP/N', 7)]
  hand-written S\NP           -> induced (mapped): [('S', 27), ('S/S', 11), ('NP', 9), ('S\\S', 8), ('NP/S', 7)]
  hand-written (S\NP)/(S\NP)  -> induced (mapped): [('S/S', 17), ('S/NP', 10), ('NP/S', 6), ('S', 6), ('N/S', 4)]
  hand-written S/S            -> induced (mapped): [('S/S', 17), ('S', 6), ('(S/S)/S', 4), ('S\\S', 4), ('S/N', 3)]
  hand-written S\S            -> induced (mapped): [('S/S', 18), ('S', 7), ('S\\S', 4), ('N/S', 2), ('(S/S)/S', 2)]
  hand-written (S/(S\NP))/NP  -> induced (mapped): [('S/S', 16), ('S', 5), ('(S/S)/S', 4), ('S\\S', 4), ('N/S', 2)]
  hand-written NP/N           -> induced (mapped): [('S/S', 10), ('S', 4), ('S/N', 3), ('NP/S', 2), ('N', 2)]
