shared words 315; best mapping {'N': 'N', 'NP': 'NP'}: exact agreement 0/315 = 0.000; shape agreement 0.086; arity agreement 0.625
  hand-written N/N            -> induced (mapped): [('S[dcl]\\S[dcl]', 36), ('S[dcl]', 12), ('S[b]\\S[pss]', 6), ('S[dcl]\\((S[dcl]/S[dcl])/S[dcl])', 6), ('S[dcl]\\(S[dcl]\\S[dcl])', 4)]
  hand-written NP/NP          -> induced (mapped): [('S[dcl]\\S[dcl]', 32), ('S[dcl]', 10), ('S[dcl]\\((S[dcl]/S[dcl])/S[dcl])', 5), ('S[b]\\S[pss]', 4), ('(S[dcl]\\S[dcl])/S[dcl]', 4)]
  hand-written NP             -> induced (mapped): [('S[dcl]\\S[dcl]', 31), ('S[dcl]', 11), ('S[dcl]/S[dcl]', 7), ('S[dcl]\\((S[dcl]/S[dcl])/S[dcl])', 5), ('S[b]\\S[pss]', 4)]
  hand-written (S\NP)/NP      -> induced (mapped): [('S[b]/NP', 14), ('S[dcl]\\S[dcl]', 10), ('S[dcl]', 9), ('S[b]\\S[dcl]', 7), ('NP/S[dcl]', 5)]
  hand-written S\NP           -> induced (mapped): [('S[dcl]\\S[dcl]', 26), ('S[dcl]', 9), ('S[b]/NP', 6), ('S[dcl]\\(S[dcl]\\S[dcl])', 3), ('N/S[b]', 3)]
  hand-written N              -> induced (mapped): [('S[dcl]\\S[dcl]', 20), ('S[dcl]', 8), ('S[dcl]\\((S[dcl]/S[dcl])/S[dcl])', 5), ('S[b]\\S[pss]', 4), ('S[dcl]\\(S[dcl]\\S[dcl])', 2)]
  hand-written N/NP           -> induced (mapped): [('S[dcl]\\S[dcl]', 18), ('S[dcl]', 7), ('S[dcl]\\((S[dcl]/S[dcl])/S[dcl])', 5), ('S[b]\\S[pss]', 4), ('S[to]\\N', 2)]
  hand-written S/S            -> induced (mapped): [('S[dcl]\\S[dcl]', 18), ('S[dcl]/S[dcl]', 7), ('S[dcl]', 6), ('(S[dcl]\\S[dcl])/S[dcl]', 3), ('S[b]\\S[dcl]', 2)]
  hand-written (S\NP)/(S\NP)  -> induced (mapped): [('S[b]/NP', 12), ('S[dcl]\\S[dcl]', 9), ('S[dcl]', 7), ('S[b]\\S[dcl]', 3), ('S[dcl]\\S[b]', 2)]
  hand-written S\S            -> induced (mapped): [('S[dcl]\\S[dcl]', 19), ('S[dcl]/S[dcl]', 6), ('S[dcl]', 5), ('S[b]\\S[dcl]', 2), ('S[dcl]\\S[b]', 2)]
  hand-written (S/(S\NP))/NP  -> induced (mapped): [('S[dcl]\\S[dcl]', 15), ('S[dcl]', 6), ('S[dcl]/S[dcl]', 6), ('S[b]\\S[dcl]', 2), ('S[dcl]\\S[b]', 2)]
  hand-written NP/N           -> induced (mapped): [('S[dcl]/S[dcl]', 3), ('S[dcl]\\S[b]', 2), ('S[dcl]\\S[dcl]', 2), ('S[b]\\S[dcl]', 2), ('(S[dcl]\\S[dcl])/(S[b]\\S[pss])', 1)]
