shared words 454; best mapping {'C0': 'N', 'C1': 'NP'}: exact agreement 76/454 = 0.167; shape agreement 0.233; arity agreement 0.612
  hand-written N/N            -> induced (mapped): [('N', 37), ('N/N', 23), ('S\\S', 21), ('S', 18), ('S/N', 17)]
  hand-written NP/NP          -> induced (mapped): [('N', 30), ('N/N', 26), ('S\\S', 19), ('S/N', 17), ('S', 14)]
  hand-written NP             -> induced (mapped): [('N', 35), ('S/N', 23), ('N/N', 19), ('S\\S', 17), ('S', 15)]
  hand-written N              -> induced (mapped): [('N', 30), ('N/N', 19), ('S', 13), ('S/N', 12), ('S\\S', 11)]
  hand-written N/NP           -> induced (mapped): [('N', 25), ('N/N', 16), ('S', 13), ('S/N', 11), ('S\\S', 9)]
  hand-written (S\NP)/NP      -> induced (mapped): [('N/N', 30), ('N', 29), ('(N/N)/N', 6), ('S/N', 5), ('S\\S', 3)]
  hand-written S\NP           -> induced (mapped): [('N', 22), ('N/N', 18), ('S\\S', 14), ('S/N', 12), ('S', 5)]
  hand-written (S\NP)/(S\NP)  -> induced (mapped): [('N/N', 23), ('N', 10), ('(N/N)/N', 6), ('S\\S', 4), ('(S\\S)/N', 3)]
  hand-written S/S            -> induced (mapped): [('S/S', 12), ('N', 10), ('N/N', 8), ('S\\S', 7), ('S/N', 5)]
  hand-written S\S            -> induced (mapped): [('S/S', 10), ('S\\S', 9), ('N', 9), ('N/N', 7), ('S/N', 5)]
  hand-written (S/(S\NP))/NP  -> induced (mapped): [('S/S', 12), ('N', 9), ('N/N', 7), ('S\\S', 6), ('S', 4)]
  hand-written NP/N           -> induced (mapped): [('N', 5), ('N/N', 4), ('S\\S', 4), ('(N/N)/N', 3), ('S/N', 3)]
